"PLAKA","VALIDATORNO","SKPVARMI","SKPSERINO"
"FU416","6,648","0",""
"DA7456","6,649","1",""
"DA7279","6,650","0","370"
"VF617","6,651","1","488"
"DB4805","6,652","0","500"
"DB3976","6,653","0",""
"DB5370","6,654","0",""
"ALV891","6,655","0",""
"DB3480","6,656","0","358"
"UK568","6,657","1","1262"
"UE833","6,658","1","327"
"DB6474","6,659","0",""
"AS8190","6,660","0",""
"SE723","6,661","",""
"DB6477","6,024","1",""
"ELK99","6,025","1","163"
"DB6464","6,026","1",""
"EMN32","6,027","1","168"
"DB6462","6,028","1",""
"RV226","6,029","1","192"
"CO1 RC877","9,569","0",""
"DB4794","6,166","0",""
"PY854","6,167","0",""
"UF804","6,168","",""
"DB2831","6,169","1",""
"V2120","6,170","1","177"
"AS8139","6,171","0",""
"DB7927","7,594","0",""
"DB7762","7,595","0",""
"DB7768","7,596","0",""
"DB7741","7,597","1",""
"DB7940","7,598","0",""
"DB7931","7,599","0",""
"DB7934","7,600","0",""
"DB6917","7,601","0",""
"DB7941","7,602","0",""
"DB8209","7,603","0",""
"DB8291","7,604","0",""
"DB8278","7,605","0",""
"HN445","7,226","1","3938"
"CO3 YS241","9,577","0",""
"DML16","2,188","",""
"DA8069","7,008","",""
"DA7460","7,010","",""
"YZ080","7,011","1","1195"
"SE723","7,012","0",""
"DA8071","7,013","",""
"SF102","7,014","1","1258"
"CI ZK8623","9,011","",""
"V3731","7,015","1","1333"
"DB4811","7,016","1","1306"
"DB3495","7,017","1","1248"
"DB5378","7,018","1",""
"DB5258","7,019","1",""
"RY122","7,020","",""
"DB4628","7,021","1","1246"
"DB4623","7,022","1","1272"
"DB6231","7,023","1",""
"DB2850","7,024","",""
"HN292","7,025","",""
"DA5403","6,155","1",""
"Y8313","6,156","1","824"
"DA7462","6,157","0",""
"DB3499","6,159","1",""
"BKJ45","6,160","1","3362"
"CTP69","6,161","",""
"EK436","6,162","1",""
"LL068","6,163","1",""
"HF773","6,164","1","193"
"VZ223","6,165","1","3718"
"CI ED673","9,054","0",""
"FE562","6,030","1","905"
"YS294","6,031","1","972"
"LE785","6,032","1","356"
"DB4620","6,033","1",""
"U0632","6,034","1","407"
"ADD334","6,035","0",""
"CNF86","6,036","",""
"DB4195","6,037","1",""
"V3379","6,038","1","3190"
"FU401","6,039","1",""
"DA7580","6,040","1","184"
"DB3488","6,041","0",""
"HN298","6,042","1","175"
"ELZ22","6,043","1","167"
"ELZ15","6,044","1",""
"CZS72","6,045","1",""
"V2177","6,046","1","1000"
"DB4616","6,644","0",""
"LV084","6,645","1","3395"
"DB3304","6,646","0",""
"ADD296","6,647","0",""
"SE097","9,402","",""
"EL378","6,619","1","1396"
"SE323","9,406","",""
"R0863","6,949","1","3786"
"DB6472","7,246","0",""
"DA7289","7,247","1",""
"ELZ05","7,248","1","3304"
"VZ712","7,249","1","1445"
"DB2835","7,250","1",""
"DC4688","7,251","",""
"DB3472","7,252","1","373"
"RC919","7,253","1","968"
"DC4691","7,256","",""
"DA5787","7,257","0",""
"DA7557","7,258","0","1437"
"AS8162","6,809","0",""
"CYZ31","6,810","1","3983"
"AOD005","6,811","0",""
"CLZ21","6,812","1","3706"
"LV023","6,813","1","3751"
"DB5967","6,814","0",""
"UC610","6,815","1","497"
"CO DC4692","7,618","",""
"DB7581","7,606","0",""
"DB8248","7,607","0",""
"DB8257","7,608","0",""
"DB8623","7,609","0",""
"DB8620","7,610","0",""
"DB8626","7,611","0",""
"DB8636","7,612","0",""
"DB8648","7,613","0",""
"DB8639","7,614","0",""
"DB8655","7,615","0",""
"FD502","7,720","",""
"DA7840","7,730","",""
"DC5048","7,742","",""
"V3400","7,532","1","3197"
"R0864","7,533","1","3783"
"DA7457","7,534","1",""
"DD1614","7,535","0",""
"AS8069","7,536","0",""
"UF844","7,537","",""
"AS8296","7,538","",""
"UF854","7,539","",""
"CI DA8071","9,035","",""
"SE627","7,540","0",""
"CTP57","7,541","1","1332"
"UF867","7,542","",""
"AS8296","7,543","0",""
"EL279","7,544","1","706"
"CO DC5048","9,515","",""
"CO DC7582","9,524","0",""
"CO DA7461","9,542","",""
"CI DA8080","9,046","",""
"CO1 DA8070","9,552","",""
"CO1 YS253","9,563","0",""
"ESHOT-TEST ID3","1,828","",""
"CO1 ED673","9,560","0",""
"SE795","9,409","",""
"SE046","9,401","",""
"CO DB5386","7,856","0",""
"PV262","6,816","1","321"
"ANA570","6,817","0",""
"EMN34","6,818","1","425"
"ELZ04","6,819","1","364"
"FE611","6,820","1","3120"
"DA5782","6,821","0",""
"DB2858","6,822","1",""
"ED652","6,823","1","441"
"DA7589","6,824","0",""
"YS264","6,825","0",""
"R2817","6,441","1",""
"DB4621","6,442","",""
"LN642","6,443","1","1082"
"P2464","6,444","1","3337"
"PV228","6,445","1","3312"
"DB3484","6,446","0",""
"P5854","6,447","0",""
"DB3348","6,448","0",""
"DB3199","6,449","0",""
"DA7996","6,450","",""
"EMN45","7,115","1","1370"
"UE834","7,460","1","3765"
"SE120","9,403","",""
"EFH16","7,293","1","380"
"R0848","7,294","1","337"
"DB4785","7,295","1",""
"DB4194","7,296","1",""
"R4707","7,297","1","3171"
"DC5050","7,298","",""
"DC5052","7,299","1",""
"34BJF953","7,300","",""
"DC5053","7,301","",""
"RY108","7,302","1","605"
"DRB02","7,303","",""
"AS7939","7,469","0",""
"DTF57","7,304","",""
"DTF14","7,305","",""
"DB4629","7,328","1",""
"EK184","7,329","1","1191"
"ADD317","7,330","0",""
"Y2528","7,331","1","1199"
"DB4812","7,333","0","1252"
"DB3496","7,334","1","1255"
"R5089","7,335","1","1269"
"Y2733","7,336","1","1223"
"DB5275","7,337","0",""
"DB4192","7,338","1",""
"ELZ11","7,271","1","3301"
"R4754","7,272","1","3169"
"VR225","7,273","1","0"
"DB5274","7,275","1",""
"CSA93","7,276","",""
"YZ092","7,277","1","402"
"DB2852","7,278","",""
"UC716","7,279","",""
"PY860","7,280","1","0"
"V3380","7,281","1","3212"
"P5825","7,282","1","1216"
"YS255","7,116","1","1237"
"DA7902","7,117","1","1368"
"DA6159","7,118","1","1210"
"ADD304","7,119","0",""
"CLZ12","7,120","1","3711"
"RC877","7,121","",""
"U8128","7,122","1","3628"
"HN386","7,123","1","0"
"DA4176","7,124","1",""
"DA4174","7,125","1","1172"
"DB2857","6,903","0",""
"DB8280","6,904","0",""
"DA8068","6,905","1",""
"Y0832","6,906","1","448"
"CYT38","6,907","0",""
"DB3486","6,908","0",""
"DB4804","6,909","0","454"
"ACG392","6,911","0",""
"P6074","7,341","1","1303"
"PE560","7,342","1","1302"
"RC875","7,343","1","3510"
"CO DA8080","9,546","",""
"DB5380","7,344","0",""
"U3908","7,345","1","1320"
"PE204","7,346","1","1300"
"R2793","7,347","1","3527"
"DB5273","7,348","0",""
"DB2845","7,349","1",""
"DA7462","7,350","",""
"BKJ33","7,351","1","963"
"DA8068","7,352","",""
"DB6229","7,353","0",""
"DB2849","7,354","0",""
"YZ084","7,355","1","3796"
"KU681","7,356","1","3732"
"SF105","7,357","1","3790"
"VZ701","7,358","1","1176"
"U6553","6,255","1","1001"
"PV328","6,256","1","3137"
"DB6212","6,257","1","957"
"DB6215","6,258","1",""
"PE406","6,259","1","3993"
"DB4622","6,261","1","940"
"AOD102","7,427","0",""
"CO2 RC877","9,570","0",""
"TS146","6,262","1","942"
"DB3497","6,263","0",""
"DB5975","7,283","0",""
"DA7551","7,284","",""
"DB3974","7,285","0",""
"DA6140","7,286","1","970"
"ELZ14","7,287","1","164"
"DB6223","7,289","0",""
"DB4202","7,290","0",""
"HF717","7,291","1","909"
"DB4792","7,292","0",""
"DB2856","6,559","1",""
"SF169","6,560","0",""
"LL095","6,564","1","693"
"HF737","6,566","1","911"
"DA7288","6,567","0","990"
"P5001","6,568","1","3973"
"DB5247","6,569","0",""
"HF745","6,571","1","609"
"EFH81","6,572","1","3793"
"ALV899","7,429","0",""
"CI DC4692","9,012","0",""
"AOY552","7,679","0",""
"DHB83","2,780","",""
"CI DC7570","9,016","0",""
"HN292","6,011","",""
"V2216","6,012","1","204"
"YS261","6,013","1","176"
"ED655","6,014","1","3666"
"DA5434","6,015","",""
"BVM28","6,016","1","201"
"EMN48","6,017","1","170"
"ED687","6,018","1","787"
"R2825","6,019","1","950"
"EMN40","6,020","1","3950"
"YZ095","6,021","1","1093"
"U0551","6,022","1","3320"
"DB3251","6,023","0",""
"CI DC4692","7,617","",""
"CI DC7577","7,621","",""
"CI DC5051","7,619","",""
"CO DC4690","9,505","0",""
"CO DC4687","9,510","",""
"AOD083","6,699","0",""
"CO DC5049 ","9,514","",""
"DML43","7,461","",""
"DHB75","7,436","",""
"CI DC4687","9,010","",""
"UH506","6,074","1","964"
"CI DC4694","9,003","0",""
"CI DC7578","9,007","0",""
"ELZ13","7,507","0",""
"DB2841","7,625","1",""
"CO DB5385","7,851","0",""
"DA4183","7,288","1",""
"CO2 DA8068","9,548","",""
"P6475","6,633","1","929"
"AOY521","7,693","0",""
"DA4162","7,873","",""
"DA0401","7,659","",""
"DA2811","7,666","",""
"DA2780","7,663","",""
"KN364","7,662","1","387"
"CO DC7576","9,504","0",""
"CO DC4691","9,509","0",""
"DA0326","7,651","",""
"SE037","7,652","0",""
"CDC358","7,653","",""
"DA0350","7,654","",""
"DA2806","7,664","0",""
"CO2 DA7284","9,551","",""
"CI RC877","9,057","0",""
"CO1 DA7284","9,550","",""
"CI DA7996","9,052","",""
"CO2 DA8070","9,553","",""
"DA7284","6,003","",""
"R0865","6,004","1","3726"
"Y2379","6,005","1",""
"DB5255","6,006","1",""
"RV233","6,007","1","3692"
"U0633","6,008","1","1428"
"DB5971","6,009","1",""
"DA7780","6,010","0",""
"AS7981","7,316","0",""
"LE842","7,317","1","1101"
"DC4690","7,318","1",""
"SE120","7,319","0",""
"VZ551","7,320","1",""
"ADD342","7,321","0",""
"VZ721","7,322","1","3762"
"ADD276","7,323","0",""
"DB2837","7,324","0",""
"Y0522","7,325","1","1266"
"DB3494","7,326","1",""
"Y0607","7,327","",""
"YS258","6,047","1",""
"CO1 DA7996","9,554","",""
"KN592","7,698","1","473"
"RC874","6,048","1",""
"DA5728","6,049","1",""
"EE473","6,050","1","3344"
"DB3487","6,051","1",""
"R4947","6,052","1","0"
"ELK97","6,053","1","162"
"DB4788","6,054","1",""
"R0850","6,055","1","3730"
"DB5254","6,056","",""
"R2751","6,057","1","103"
"R0839","6,058","1","3782"
"DA8076","6,059","1",""
"DB6467","6,060","1",""
"V3372","6,061","1","3181"
"LN609","6,062","1","359"
"R4667","6,063","1","3165"
"DB3248","6,064","0",""
"DB5382","6,066","1",""
"DB5377","6,067","0",""
"HN283","6,068","1","212"
"LV152","6,069","1","1463"
"CI DC5051","1,900","",""
"CI DC4693","9,002","0",""
"CI DC7573","9,001","0",""
"CO DC4694","9,503","0",""
"CI DC4690","9,005","0",""
"CO DC4693","9,502","0",""
"CI DC4691","9,009","0",""
"HF770","6,551","1","907"
"YS274","6,260","1","3674"
"CO DC4686","9,528","0",""
"CO DA8081","9,539","",""
"CI DA7454","9,044","",""
"CI DB4808","7,702","0",""
"AS8123","6,070","0",""
"DB2855","6,072","1","1443"
"RT580","6,073","1","3449"
"U0657","6,075","1","409"
"DB3982","6,076","0",""
"DB4619","6,077","0",""
"ALV853","6,078","0",""
"DB6222","6,079","0","1459"
"DB4791","6,080","0",""
"AOC971","6,081","0",""
"Y2795","6,082","1","3461"
"Y2205","6,083","1","3466"
"PY850","6,084","1","3309"
"R4586","6,085","1","3163"
"RY117","6,086","1","430"
"LN607","6,087","1","358"
"U0278","6,089","1","210"
"DB3983","6,090","1",""
"YZ079","6,091","1","934"
"Y2346","6,092","1","3465"
"RY138","7,112","0",""
"DA3696","6,180","1",""
"EE458","6,181","1","3349"
"HN258","6,182","",""
"PE611","6,183","",""
"DA4182","6,184","",""
"V2211","6,185","1","470"
"KC416","6,186","1",""
"EE474","6,187","1","3343"
"DB5987","6,173","1",""
"DB3243","6,174","0",""
"V3396","6,175","1","3203"
"DA7284","6,188","1",""
"P5757","6,189","1","3316"
"EL274","6,190","1","3969"
"EFH78","6,191","1","3792"
"DA4184","6,192","1",""
"ED669","6,193","1","3354"
"EE468","6,194","1","195"
"DA5430","6,195","0",""
"DA7745","6,196","1",""
"V3377","6,197","1","3189"
"R2786","6,198","1","403"
"DB4210","6,199","1",""
"DB5986","6,200","0","178"
"RY107","6,201","1","1466"
"LV211","6,202","1","370"
"RV228","6,203","1","438"
"V3404","6,204","1","3202"
"RC871","6,205","1","1456"
"PY847","6,206","1","3310"
"DA8077","6,209","1",""
"Y2374","6,210","1",""
"DB3971","6,211","1",""
"EMN32","6,212","",""
"ELK99","6,214","",""
"KC326","6,215","1","3287"
"U1529","6,216","1","208"
"DA6148","6,217","1","1010"
"SF142","6,218","1","3737"
"P2524","6,219","1","179"
"V3406","6,220","",""
"CO DC7584","9,522","0",""
"EK131","6,223","1","3334"
"DB4201","6,224","0",""
"R5017","6,225","1","3230"
"KC412","6,226","1",""
"ED662","6,207","1","3356"
"U1215","6,208","1","3319"
"Y2378","6,233","1",""
"DB5364","6,234","1",""
"DA7748","6,235","1",""
"Y1667","6,236","1","3467"
"LV214","6,237","0",""
"CYH40","6,238","1","3339"
"DB4206","6,239","1",""
"R4868","6,240","1","3231"
"DB3491","6,241","1",""
"R0877","6,242","1","949"
"V3449","6,243","1","3325"
"DB3490","6,244","1",""
"DA3683","6,245","1","188"
"PV319","6,247","1","3138"
"U7496","6,248","",""
"DML50","7,431","",""
"DB3977","6,727","0",""
"DA8082","6,093","1",""
"DB4209","6,094","1",""
"DB6478","6,095","0",""
"DB3980","6,096","0",""
"PY851","6,097","1","3308"
"DB5988","6,098","1","203"
"U0475","6,099","1","165"
"DB4784","6,100","",""
"CYD67","6,101","1","3342"
"FE616","6,102","1","3119"
"DB4787","6,103","1",""
"DB3493","6,104","1",""
"LE751","6,105","1","355"
"CYM21","6,106","1","3456"
"SF119","6,107","1","3788"
"CYJ98","6,108","",""
"CYJ98","6,109","1","3457"
"R0879","6,110","1","3785"
"ADD327","6,111","0",""
"R2759","6,112","1",""
"DB6220","6,113","1",""
"CO DC5053","9,521","0",""
"R0857","6,114","1","777"
"PV218","6,115","1","3313"
"VF618","6,116","1","3817"
"V3399","6,117","1","3187"
"DB4618","6,118","1","197"
"EK135","6,119","1","3333"
"06JTF43","6,120","0",""
"DB3981","6,121","1",""
"V4357","6,122","1","3323"
"YZ077","6,123","1","382"
"VZ720","6,124","1",""
"PE611","6,125","0",""
"R0859","6,126","1","3727"
"DB3476","6,128","1","637"
"YZ096","6,129","1",""
"DB4807","6,130","0","738"
"DB3975","6,132","1",""
"DB5960","6,133","1","954"
"KN293","6,134","1","3405"
"DA7459","6,135","1",""
"FD792","6,136","1",""
"ED665","6,137","1","3355"
"P5759","6,138","1","3315"
"ED682","6,139","1","795"
"DC4688","6,140","0",""
"DB4198","6,141","1",""
"DB3492","6,142","",""
"DA7286","6,143","1",""
"ED684","6,144","1","797"
"EL373","6,145","1","3152"
"V3763","6,147","1","1185"
"VV074","6,149","1","1395"
"DTF96","6,150","",""
"CLZ15","6,151","",""
"DB5365","6,152","0",""
"DB6458","6,153","1",""
"UH592","6,154","1","899"
"PE225","6,148","1","1318"
"DA5792","6,176","1",""
"EE483","6,177","1","709"
"DB3296","6,178","0",""
"DB4211","6,179","0",""
"HN292","7,437","1","209"
"DA3714","6,308","1","1036"
"KC318","6,309","1","1028"
"PE530","6,310","1","1045"
"FE592","6,311","1","916"
"DA6149","6,312","",""
"EMN46","6,313","1","1054"
"V2139","6,314","1","996"
"EL261","6,315","1","985"
"ELZ07","6,316","1","3127"
"P5929","6,317","1","1013"
"YS295","6,318","1","1048"
"DA3689","6,319","1","200"
"CNF66","6,320","1","3385"
"DB3967","6,321","1",""
"ADD336","6,322","0",""
"V2133","6,323","1","971"
"EL246","6,324","1","0"
"DB3501","6,325","0",""
"PE532","6,326","1","1012"
"P5831","6,327","1","986"
"DB3458","6,337","1",""
"CO DA8071","9,535","",""
"UH505","6,338","1","0"
"DB2859","6,339","1",""
"PV216","6,340","1","3314"
"AS8062","6,341","0",""
"ADD298","6,342","0",""
"DB5376","6,343","0",""
"DB4205","6,344","0",""
"DB4610","6,345","0",""
"DB5269","6,346","1",""
"DB3969","6,347","1",""
"DB4612","6,348","1","943"
"DB3468","6,349","1","992"
"PE574","6,350","1","1011"
"DB5270","6,351","1",""
"DB5964","6,352","0",""
"EMN37","6,353","1","1115"
"YZ102","6,354","1","938"
"DA3932","6,383","",""
"DB5374","6,384","1",""
"HF714","6,385","1",""
"BEJ69","6,386","1","3700"
"DB4200","6,387","0",""
"R4943","6,388","1","937"
"AS7864","6,389","0",""
"EE493","6,390","1","3659"
"ADD331","6,391","0",""
"SF097","6,392","1","3739"
"YS291","6,394","1","1047"
"DA7291","6,395","1","1122"
"UH571","6,396","1","897"
"UH598","6,397","1","987"
"DB2848","6,398","1",""
"PE449","6,399","1","3990"
"DA5434","6,400","1",""
"PE556","6,401","0",""
"P5914","6,402","1",""
"ELZ01","6,403","1","912"
"DB5956","6,355","0","1063"
"DB4611","6,356","1","1003"
"SE795","6,357","0",""
"DB3466","6,358","",""
"DB4621","6,506","1","198"
"VZ708","6,359","1","930"
"ED683","6,360","1","715"
"DB3471","6,361","0","1073"
"KC325","6,362","1","913"
"UH593","6,363","1","1097"
"FD717","6,364","1","982"
"PE410","6,365","1","3992"
"DA7787","6,366","",""
"BVK79","6,367","1",""
"DB5262","6,368","1",""
"DB5266","6,369","0",""
"DA7596","6,370","1","1009"
"V2148","6,371","1","1116"
"DB5271","6,372","1",""
"DA7994","6,373","1",""
"DA3932","6,374","1","1052"
"ADD248","6,375","0",""
"DB6461","6,376","0",""
"CNF63","6,377","1","1104"
"ADD258","6,378","0",""
"PE662","6,379","1",""
"CO DC5052","9,508","",""
"UH599","6,380","1","994"
"VF663","6,381","1","889"
"FD212","6,382","1","1019"
"DB5965","6,410","1",""
"BKJ31","6,411","1","3365"
"DB3970","6,412","0",""
"CNF62","6,413","1",""
"LL043","6,414","1","962"
"DB6460","6,416","0",""
"LL022","6,417","1","961"
"V2158","6,419","1","1030"
"EL271","6,420","1","1121"
"DB6465","6,421","1",""
"UK547","6,422","1","991"
"AS8398","6,423","0",""
"VF672","6,424","1","0"
"DA8075","6,425","1","968"
"DB4199","6,426","1",""
"PV292","6,427","1","998"
"HN404","6,404","1","0"
"ALV870","6,405","0",""
"CI DC7584","9,022","0",""
"BEJ60","6,249","1",""
"R4684","6,250","1","3167"
"LN618","6,227","1","181"
"EE470","6,228","1","3345"
"DB3489","6,229","1",""
"DA3700","6,230","",""
"DA4183","6,231","",""
"U0658","6,232","1","1459"
"DB4213","6,251","0",""
"Y8366","6,252","1","3681"
"DA3677","6,253","",""
"EK281","6,254","0",""
"PV309","6,265","1","997"
"PV341","6,266","1","0"
"DB3500","6,267","1","921"
"P6318","6,268","1","0"
"R4947","6,269","",""
"DB3460","6,270","1","1070"
"DB5958","6,271","0",""
"R4936","6,272","1","1002"
"DB4204","6,273","1",""
"RV224","7,419","1","985"
"U0946","6,274","1","3519"
"R0846","6,275","1","3729"
"PV346","6,276","1","0"
"Y1202","6,277","",""
"DA7458","6,278","1","1076"
"DB6457","6,279","0",""
"ALV859","6,280","0",""
"DB5268","6,281","1",""
"ELZ02","6,282","1","908"
"ALV787","6,283","0",""
"KC325","6,284","",""
"ELZ03","6,285","1","0"
"CSA84","6,286","1","2997"
"RC920","6,288","1","967"
"HN324","6,289","1","906"
"V2117","6,290","1","992"
"DA6149","6,291","0",""
"ELL02","6,292","",""
"ELK98","6,293","1","903"
"KN492","6,294","1","3403"
"FD513","6,295","1",""
"CO DC7577","7,622","",""
"ADB818","6,296","0",""
"Y8342","6,297","1","973"
"P5943","6,298","",""
"KC347","6,299","1","1006"
"ADD322","6,300","",""
"DA7790","6,328","1",""
"EE507","6,329","1","1014"
"V2141","6,330","1","1037"
"DB5272","6,331","",""
"AS8036","6,332","0",""
"DB5267","6,333","0",""
"R2795","6,334","1","1109"
"DB3464","6,335","0","1064"
"DB3469","6,336","0",""
"DA7598","6,301","1","1044"
"SE287","6,302","0",""
"P5896","6,303","1","1016"
"HN312","6,304","1","1007"
"ELZ09","6,305","",""
"P5992","6,306","1","0"
"FE583","6,307","1","914"
"DHB76","7,428","1","1857"
"FE580","6,406","1","1034"
"DA7278","6,407","0","442"
"DA7788","6,408","0","969"
"Y1072","6,409","",""
"CNF73","6,438","1","1105"
"CZK26","6,439","1","955"
"EFH06","6,440","1","3377"
"VZ705","6,428","1","0"
"Y9974","6,429","0",""
"DD1618","6,430","0",""
"BKJ38","6,431","1","1135"
"AS8100","6,432","0",""
"SF144","6,433","1","1114"
"EK411","6,434","1","0"
"V1242","6,435","1","947"
"ADD281","6,436","0",""
"U3909","6,437","1","1079"
"TZ781","6,465","1","944"
"PE660","6,466","1","1043"
"LE783","6,467","1","1113"
"DA7538","6,468","1","85"
"CO DC4688","9,529","",""
"DK378","6,540","1","684"
"VZ016","6,541","0",""
"FE834","6,542","1",""
"DA4056","6,543","1","815"
"DB2770","6,544","0",""
"DB2806","6,545","0",""
"DB6219","6,546","1",""
"P5785","6,547","1","3963"
"LV268","6,548","1","309"
"LL102","6,549","1","3516"
"P5419","6,550","1","948"
"U3887","6,552","0",""
"FU411","6,553","0",""
"DD1608","6,556","0",""
"CNF79","6,532","1","3380"
"DB2840","6,533","0","613"
"DB3973","6,534","0",""
"ALV797","6,535","0",""
"PE310","6,588","1","790"
"EE475","6,589","1","791"
"AOC910","6,590","0",""
"Y0607","7,650","1","1267"
"DD1602","6,591","0",""
"FT005","6,592","1","3978"
"ED685","6,593","1","784"
"RC929","6,594","1","792"
"DA4030","6,595","0","809"
"DA7463","6,596","1","1209"
"Y2375","6,597","1",""
"DA7454","6,598","",""
"DB3297","6,600","0",""
"ADD316","6,601","0",""
"Y8286","6,602","1","696"
"DB3310","6,603","0",""
"V2200","6,604","1","783"
"DB5973","6,605","1","639"
"DB3246","6,573","0",""
"U3903","6,574","1","956"
"KN524","6,575","1","601"
"FU399","6,576","1","695"
"LL129","6,577","1","3715"
"P4431","6,579","1","3974"
"V3433","6,580","1","3186"
"CI DC4686","9,028","0",""
"VZ707","6,581","0",""
"V2209","6,582","1","808"
"EE486","6,583","0",""
"KC379","6,584","1","651"
"R4856","6,585","1","3166"
"DA5411","6,586","0",""
"DA5405","6,587","0",""
"LV245","6,622","",""
"DB4217","6,623","0",""
"ELK93","6,624","1","772"
"ELZ16","6,625","1","807"
"EL241","6,626","0",""
"V2208","6,627","0",""
"P5788","6,628","1","804"
"RV219","6,629","1","3511"
"V2207","6,630","1","698"
"P5786","6,631","1","3962"
"EE480","6,632","1","798"
"FT909","6,634","1","796"
"Y8338","6,635","0",""
"FT798","6,637","1","802"
"HF757","6,469","1","1108"
"YZ095","6,470","",""
"LE766","6,471","1","1102"
"LN622","6,472","1","362"
"U3919","6,473","1","960"
"R0868","6,475","1","1081"
"AS8205","6,476","0",""
"VZ716","6,477","1","1107"
"EFH09","6,478","1","3376"
"LV963","6,479","1","943"
"DB2761","6,480","0",""
"PE373","6,481","1","3995"
"DB5375","6,482","1",""
"DB3462","6,483","1","1086"
"V3726","6,489","1","993"
"AOD068","6,490","0",""
"CZK27","6,491","1","936"
"DB3463","6,493","1",""
"P5795","6,494","1","0"
"DA7290","6,495","1","1046"
"DB5962","6,496","1","1088"
"CI DA8070","9,051","",""
"V2124","6,497","1","0"
"DB3203","6,498","0",""
"DB6214","6,499","1",""
"UH572","6,500","1","898"
"DB3470","6,484","0",""
"DB3465","6,485","0","1078"
"U7395","6,486","1","0"
"DB3964","6,487","1",""
"DA7993","6,488","0","958"
"V3436","6,501","1","1039"
"UF809","6,503","",""
"Y2402","6,504","1","3811"
"VZ395","6,505","1","615"
"R5211","6,507","1","3234"
"PV279","6,508","1","3959"
"KN371","6,509","1","655"
"LV059","6,510","1","644"
"LV067","6,511","1","3396"
"DB2687","6,512","0",""
"DB2805","6,513","0",""
"DB5969","6,514","0",""
"LL104","6,515","1","667"
"DA7454","6,516","0","610"
"DB2689","6,517","0",""
"YZ082","6,518","1","642"
"YS276","6,519","1","3673"
"ELZ21","6,520","1","166"
"U5679","6,521","0",""
"DB4793","6,522","1",""
"Y0625","6,523","1","3502"
"FU689","6,524","1","3979"
"HN358","6,525","0",""
"PE226","6,526","1","701"
"RV211","6,527","1","793"
"06JTF43","6,528","",""
"DA4059","6,529","0","818"
"FE796","6,530","0",""
"ED686","6,531","1","801"
"FE847","6,536","1","652"
"U3897","6,537","1","686"
"R4953","6,538","1","1321"
"DB2800","6,539","0",""
"P5842","6,474","1","0"
"LH409","6,708","1","771"
"FU420","6,709","1","685"
"CZU34","6,710","0",""
"DB5251","6,711","0",""
"DB4625","6,712","0","615"
"FU423","6,713","1","3368"
"V3430","6,714","1","3195"
"R0862","6,715","1","945"
"R2820","6,716","1","673"
"KN282","6,717","1","3404"
"EFH56","6,718","1","3741"
"DB4799","6,719","0","382"
"KN619","6,720","1","600"
"BKJ39","6,721","1","3363"
"DB3298","6,726","0",""
"ADD341","6,728","0",""
"R4866","6,729","1","639"
"UF834","6,730","1","1004"
"CYV19","6,732","1","618"
"KN504","6,733","1","3398"
"U3914","6,734","1","775"
"DB4784","7,547","1",""
"DB4218","6,735","0",""
"FE668","6,736","1","3942"
"V3452","6,723","0",""
"DB3483","6,724","0",""
"BKJ29","6,725","1","3367"
"HN378","6,737","1","773"
"FE836","6,738","1","776"
"EE476","6,739","1","785"
"DD1612","6,740","0",""
"Y2399","6,741","",""
"RC913","6,742","1","786"
"RV229","6,743","",""
"RV212","6,744","0",""
"PE332","6,745","1","778"
"RV232","6,746","1","657"
"DA4032","6,747","0","821"
"DA7787","6,748","0",""
"DB3280","6,749","0",""
"EMN38","6,750","0",""
"UE834","6,751","",""
