"PLAKA","VALIDATORNO","SKPVARMI","SKPSERINO"
"RC915","6,752","1","781"
"DA7806","7,661","1",""
"PE379","6,753","1","774"
"DA7550","6,754","0",""
"EL285","6,755","1","3636"
"P6073","6,756","1","493"
"EE516","6,757","1","423"
"DB6476","6,759","0",""
"DB3473","6,760","0","351"
"FD502","6,761","",""
"Y0559","6,762","1","445"
"UE836","6,763","1","469"
"DB4607","6,764","0",""
"EE499","6,768","1","3656"
"EK450","6,769","1","3153"
"DD1620","6,770","0",""
"U7708","6,771","1","3631"
"DA3704","6,772","1","984"
"DB5369","6,773","0",""
"ADD345","6,774","0",""
"DB5264","6,775","0",""
"ADD338","6,776","0",""
"DB5367","6,777","0",""
"CO DC4685","9,527","0",""
"CO3 RC891","9,574","0",""
"PV245","6,778","1","516"
"DB6224","6,779","0",""
"DA5759","6,780","0",""
"ELK91","6,781","1","3130"
"PV249","6,782","1","486"
"PV316","6,783","0",""
"R4732","6,784","1","467"
"EK223","6,785","1","345"
"ELK92","6,765","1","424"
"DA3698","6,766","0",""
"ELK96","6,767","1","3306"
"Y0486","6,791","1",""
"EL289","6,792","1","504"
"V2188","6,793","1","3669"
"ED659","6,794","1","3663"
"EE498","6,795","0",""
"EMN36","6,796","1","393"
"EFH48","6,797","1","3742"
"EE448","6,798","1","3351"
"HN356","6,799","1",""
"VZ314","6,800","0",""
"SE627","9,407","",""
"DD1611","6,801","0",""
"DA7552","6,802","1",""
"Y2416","6,803","1","392"
"Y2398","6,804","0",""
"DB5983","6,805","0",""
"CNF83","6,806","1","638"
"ED658","6,807","1","3664"
"UC623","6,808","1","386"
"P3056","6,786","1","514"
"P2989","6,787","1","412"
"ADD322","6,788","0",""
"U7810","6,789","1","480"
"V3420","6,790","1","3188"
"DA5829","6,826","",""
"HN283","6,827","",""
"R4720","6,828","1","3162"
"DB6463","6,829","0",""
"DA7549","6,830","0","496"
"ALV803","6,831","0",""
"LV008","6,832","1","3753"
"DB4214","6,833","0",""
"DA3702","6,561","1",""
"DA7840","6,639","",""
"DA7461","6,606","0","620"
"DB6468","6,607","0",""
"DB5966","6,608","0",""
"KN407","6,609","1","352"
"CNF71","6,610","1","3383"
"DA7461","6,611","",""
"AS8068","6,612","",""
"AS8072","6,613","0",""
"DA7548","6,614","0",""
"UK543","6,615","0",""
"EK279","6,618","1","3970"
"V3454","6,620","1","623"
"DB2839","6,621","0",""
"DA4065","6,640","0",""
"DA7832","6,641","0","665"
"ED690","6,642","1","782"
"DA8069","6,643","1","1400"
"DB5984","6,662","0","455"
"LV280","6,663","1","3391"
"DB3268","6,664","0",""
"DA7603","5,670","",""
"CO1 YS241","9,575","0",""
"DB6466","6,665","0",""
"DD1606","6,666","0",""
"DB5250","6,667","0",""
"DD1601","6,668","",""
"DB5981","6,669","0",""
"DB3475","6,670","0",""
"DB6226","6,671","0",""
"UC703","6,672","1","3773"
"DB5982","6,673","0",""
"SF092","6,674","1","3740"
"DA5765","6,675","0",""
"CYM68","6,676","1","416"
"DB4624","6,677","0",""
"ADD315","6,678","0",""
"DB5985","6,680","",""
"VF658","6,681","1","3814"
"DB2723","6,682","0",""
"DB6217","6,683","0",""
"BKJ30","6,684","1","3366"
"U2055","6,685","1","383"
"CI DC5048","9,015","",""
"DB5383","6,686","0",""
"DB6216","6,687","0","619"
"DB3309","6,688","0",""
"DB3214","6,689","0",""
"LE821","6,690","1","681"
"DB2688","6,691","0",""
"ADD324","6,692","0",""
"AS8221","6,693","0",""
"PV270","6,694","1","3960"
"ELZ12","6,695","1","708"
"ELK94","6,696","0",""
"BVM25","6,697","1","3471"
"PE266","6,698","1","803"
"RC927","6,700","1","794"
"EE481","6,701","1","788"
"FE466","6,702","1","720"
"DA7845","6,703","0","669"
"DA7996","6,704","1","1120"
"HN351","6,705","0",""
"KC384","6,706","1","806"
"DB2843","6,707","0",""
"CO DC7574","9,531","0",""
"U7961","6,834","1","3629"
"FU394","6,835","1","451"
"UE835","6,836","1","3771"
"UE832","6,837","1","474"
"P4225","6,838","",""
"DA7280","6,839","0","408"
"DB4806","6,840","0",""
"ALV885","6,841","0",""
"UK567","6,842","",""
"CKR17","6,843","1","315"
"DA7277","6,846","0",""
"DB4801","6,847","0",""
"EFH26","6,848","1","390"
"AOC930","6,849","0",""
"PY858","6,850","1","464"
"ALV781","6,851","0",""
"UE849","6,852","1","335"
"R4848","6,853","1","3161"
"DA3977","6,854","0","440"
"YZ094","6,855","1","3744"
"PV285","6,856","1","436"
"CO DB5972","7,850","0",""
"BEJ58","6,933","1","1429"
"DB2832","6,934","0","1464"
"U3898","6,935","1","1453"
"YS304","6,936","1","1433"
"V2180","6,937","0",""
"RY110","6,939","1","434"
"DB4790","6,940","1",""
"EK438","6,945","1","1435"
"DB6225","6,946","0","1068"
"LV174","6,947","1","485"
"RY098","6,948","0",""
"HF743","6,950","1","902"
"EK182","6,952","1",""
"DA7285","6,954","1","1461"
"DB5260","6,957","1",""
"PY865","6,958","1","3132"
"DC5049","6,959","1",""
"EMN43","6,960","1","3947"
"DB4190","6,961","1",""
"DB2843","6,962","",""
"HN356","6,941","",""
"DHB83","7,426","1","751"
"DA2809","7,665","0",""
"LN615","6,942","1","1439"
"R2802","6,943","1","1462"
"BVM19","6,944","1","1344"
"BKJ46","6,969","1","371"
"DB6227","6,970","0",""
"SF058","6,971","0",""
"LV233","6,972","1","3748"
"EFH71","6,973","1","1460"
"DB2842","6,974","0",""
"DB5263","6,975","0",""
"CNF44","6,976","1","1425"
"VF656","6,977","",""
"RA326","6,978","1","1174"
"HN397","6,964","",""
"DB5366","6,965","1",""
"DA8070","6,966","",""
"UC657","6,967","1","317"
"VP186","6,968","1","3633"
"U0951","7,004","1","1221"
"LN639","7,006","1",""
"SF114","7,007","1","1259"
"NA537","7,636","1","1253"
"AOY529","7,690","0",""
"DB5979","6,991","1","1241"
"ELZ19","6,992","1","1202"
"ELZ17","6,993","1","3954"
"UH514","6,994","1","1240"
"RC891","6,995","",""
"RT412","6,996","1","1177"
"V2217","6,997","1","3469"
"V3759","6,998","1","1227"
"DA8081","6,999","0",""
"EE510","7,000","1","1379"
"R2838","7,001","1","953"
"DC4687","7,002","1",""
"AS8173","7,003","0",""
"DD1607","7,045","0",""
"AS8128","7,046","0",""
"U0942","7,047","1","1323"
"V3755","7,048","1","1194"
"UF867","7,049","",""
"DB4212","7,050","",""
"CYT30","7,051","1","3652"
"DB4789","7,026","1","1334"
"CLZ15","7,471","1","3710"
"CI DB3498","7,707","0",""
"EK192","6,857","1","3639"
"LV011","6,858","1","462"
"ADD332","6,859","0",""
"DA7282","6,860","0","376"
"DA7281","6,861","0",""
"ADD330","6,862","0",""
"P5862","6,863","1","439"
"UK565","6,844","",""
"BEJ75","6,845","1","377"
"EE492","6,878","1","431"
"DA8088","6,879","0","433"
"DA3977","6,880","",""
"DA5776","6,881","0",""
"R4782","6,883","1","3168"
"YZ091","6,884","1","3747"
"DB5259","6,886","1",""
"DA7724","6,887","1","194"
"BEJ73","6,888","1","512"
"DD1609","6,889","0",""
"EU298","6,890","1","338"
"ALV752","6,891","0",""
"BEJ62","7,628","0",""
"CI DB4215","7,711","0",""
"RA487","6,892","1","458"
"EK191","6,893","1","3640"
"U1733","6,894","0",""
"EK245","6,895","1","415"
"PY856","6,896","1","426"
"UK556","6,897","1","3091"
"V3427","6,864","1","3192"
"VP451","6,865","1","463"
"DA7825","6,866","0","434"
"EC612","6,867","1","399"
"KC373","6,868","1","501"
"ELZ08","6,869","1","365"
"DA8071","6,870","1","1244"
"DB5963","6,871","1",""
"PV233","6,873","1","440"
"V3425","6,874","1","502"
"BKJ59","6,875","1","437"
"DA7802","6,876","0",""
"ALV817","6,877","0",""
"UE837","6,898","1","3769"
"DB4605","6,899","0",""
"CI DC5053","9,021","0",""
"DD1610","6,131","0",""
"KN595","6,900","1","3757"
"DB3482","6,901","0","410"
"V3422","6,902","1","3173"
"DA3972","6,912","0","446"
"DA7587","6,913","0",""
"DA3965","6,914","0","375"
"EE491","6,915","1","432"
"DB3478","6,916","0",""
"P5875","6,917","1","517"
"EL365","6,918","1","174"
"YS263","6,919","0",""
"DA5786","6,920","",""
"DB3474","6,921","0","353"
"DA7456","6,922","",""
"FU405","6,923","1","1452"
"DD1617","6,924","0",""
"Y0559","6,927","",""
"R4563","6,928","1","1436"
"EK151","6,930","1",""
"CYP98","6,931","1","1469"
"DA7460","6,932","1","1205"
"CI DC4689","9,053","0",""
"DA5357","7,098","1",""
"DB2838","7,099","1",""
"DA7865","7,100","1","1371"
"BVM27","7,101","1","1377"
"P5814","7,102","1","1347"
"YS292","7,103","1","1219"
"KC329","7,104","1","1204"
"DA5360","7,105","1",""
"EMN41","7,106","1","1211"
"HN443","7,107","1","1214"
"KN309","7,108","1","0"
"V3770","7,110","1","1265"
"ACH888","7,111","0",""
"YS241","7,113","",""
"FE719","7,114","1","1309"
"R2803","7,126","1","1310"
"DB5980","7,127","1","1247"
"DA5349","7,128","1",""
"EK236","7,129","1","1243"
"ED661","7,130","1","1351"
"DB2853","7,132","0",""
"DA0403","7,660","0",""
"BVM20","7,133","1","1374"
"DB5381","7,134","1",""
"DB4197","7,135","1",""
"BEJ81","7,136","1","3697"
"DB4609","7,137","0","382"
"DB3978","7,138","0",""
"EK445","7,139","1","381"
"DD1603","7,140","0",""
"V3421","7,141","1","314"
"DB3979","7,142","0",""
"DB5368","7,143","0",""
"DB5372","7,144","0",""
"DB3481","7,145","0","403"
"FU343","7,146","1","421"
"BEJ63","7,147","1","319"
"EK439","7,148","1","3156"
"FE619","7,149","1","368"
"DB2844","7,150","1",""
"VP619","7,151","0",""
"EMN04","7,152","1","3123"
"P3624","7,153","1","404"
"UC644","7,154","1","3803"
"P4149","7,155","1","3641"
"DB4800","7,156","0",""
"DD1604","7,157","",""
"R4916","7,158","1","3229"
"LV216","7,159","1","499"
"Y0600","7,160","1","513"
"RY116","7,161","0",""
"AS8013","7,163","0",""
"V3437","7,164","1","626"
"Y0489","7,167","0",""
"DB5254","7,168","0",""
"CSR57","7,169","",""
"CLZ06","7,170","0",""
"EE496","7,171","1","3658"
"V3718","7,172","1","310"
"DB3479","7,173","1","413"
"U0773","7,174","1","3522"
"R4789","7,175","1","3236"
"DB6473","7,176","0",""
"DA7840","6,562","0","819"
"CO2 RC891","9,573","0",""
"DB4608","7,177","0",""
"EL371","7,178","1","3328"
"DB5265","7,179","0",""
"DB2830","7,180","1",""
"DB2851","7,181","0",""
"BKJ52","7,182","1","308"
"CZC99","7,183","1","3980"
"YZ093","7,184","1","3745"
"DB3477","7,165","0",""
"DB4601","7,166","0","472"
"Y0558","7,206","0",""
"R5213","7,207","1","3237"
"VP736","7,208","1","1183"
"DD1605","7,209","0",""
"PY870","7,210","1","1188"
"RT869","7,211","1","1184"
"U5961","7,212","1","1232"
"YZ085","7,213","1","1331"
"DA7864","7,214","1","1361"
"DA5361","7,215","1",""
"FU252","7,216","1","1392"
"DA0367","7,655","0",""
"FU610","7,217","1","1342"
"EL390","7,218","1","1381"
"FT950","7,219","1","1346"
"FE612","7,220","1","1357"
"EMN42","7,221","1","1358"
"ELZ18","7,222","1","1367"
"V2236","7,223","1","1352"
"EK216","7,185","1","3638"
"FE862","7,186","1","94"
"V3418","7,187","1","3176"
"DB3485","7,188","0",""
"P3742","7,189","1","385"
"EE465","7,190","1","3347"
"LV131","7,191","1","346"
"DB4602","7,192","0",""
"DB4603","7,193","0","372"
"R5141","7,194","1","3239"
"V3419","7,195","1","3201"
"V3760","7,196","1","3191"
"V3413","7,197","1","3200"
"KC418","7,198","1","178"
"DB6459","7,472","1",""
"DB3961","7,027","1",""
"DB5977","7,028","1",""
"DA6147","7,029","",""
"DB6479","7,030","1",""
"EMN49","7,031","1","1356"
"DA6171","7,032","1","1350"
"CYZ81","7,033","1","1193"
"FD810","7,034","1","1170"
"DB6480","7,035","1",""
"DB5256","7,036","1",""
"BVM23","7,037","1","0"
"DC9801","7,038","0",""
"ED660","7,039","1","3662"
"V3772","7,040","1","3205"
"DB5379","7,041","1",""
"YZ070","7,042","1","1328"
"ELZ09","7,043","1","1008"
"AS7948","7,044","0",""
"DB5959","7,052","1","1326"
"DB5279","7,053","1",""
"DB6230","7,054","1","1335"
"RA331","6,158","1","1319"
"DB4813","7,055","1","1297"
"SF113","7,056","1","1274"
"U7008","7,057","1","1175"
"DB4786","7,058","",""
"DB5278","7,059","1",""
"DB4191","7,060","1",""
"DD1613","7,061","0",""
"EMN44","7,062","1","3946"
"FT944","7,063","1","1341"
"KC295","7,064","1","1201"
"ED673","7,065","",""
"DA6158","7,066","1","1197"
"Y0511","7,067","1",""
"DA4140","7,068","1","1218"
"PY859","7,069","1","1222"
"DA4155","7,070","1","1196"
"DB3972","7,071","1",""
"R2783","7,072","1","1312"
"DB6228","7,073","1","1238"
"KC308","7,074","1","1234"
"DB5978","7,076","1","1260"
"CI DA7457","9,041","",""
"DB3960","7,077","1",""
"DB4196","7,078","1",""
"DB4606","7,079","0","400"
"DB4803","7,080","0",""
"DA7588","7,081","0","477"
"EE460","7,082","1","3348"
"R5114","7,083","1","1316"
"CYZ10","7,084","1","427"
"Y2401","7,085","1","1178"
"V3409","7,086","1","1315"
"V3739","7,087","1","1256"
"R0842","7,088","1","1186"
"LL121","7,089","1","1189"
"SF172","7,090","1","1330"
"R5041","7,091","1","1200"
"R5073","7,092","1","1270"
"FU386","7,093","1","3515"
"DA7459","7,094","",""
"U0953","7,095","1","1159"
"CNF02","7,096","1","1181"
"RT395","7,097","1","1207"
"CI DB5972","7,700","0",""
"ADE382","7,811","0",""
"U6223","7,199","0",""
"VZ860","7,200","1","611"
"P5886","7,201","1","3625"
"AS8193","7,202","0",""
"AS8166","7,203","0",""
"U6801","7,204","1","1180"
"RT618","7,205","1","1224"
"EMN47","7,225","1","1378"
"KC309","7,227","1","1366"
"EMN39","7,228","1","1301"
"DA4179","7,229","0","1340"
"P5813","7,230","1","1220"
"DB3963","7,231","1",""
"PE440","7,232","",""
"HN415","7,233","1","1212"
"UF866","7,234","",""
"DA7852","7,235","1","1383"
"PE440","7,236","1","1353"
"RV223","7,237","1","1339"
"AOD127","7,238","0",""
"DB3467","7,670","0","941"
"SE723","9,408","",""
"U3899","7,462","0",""
"RC921","7,463","1","1029"
"V3949","7,464","1","3324"
"CZB59","7,465","1","515"
"DB4203","7,468","1",""
"V3727","7,470","",""
"U2182","7,473","1","1198"
"EFH73","7,474","1","1426"
"SE097","7,475","0",""
"DRB68","7,476","",""
"DTF28","7,477","",""
"DB3984","7,478","0",""
"DC5050","7,479","1",""
"DC7582","7,480","",""
"PV295","7,481","1","0"
"Y8020","7,423","1","697"
"RA329","7,424","1","3689"
"BVM30","7,425","1","1375"
"test eshot","7,430","0",""
"DD1619","7,433","0",""
"DA5363","7,434","0",""
"DA8079","7,435","1","1472"
"HF779","7,440","1","1106"
"P5851","7,441","1","1026"
"DB4796","7,443","1",""
"KN355","7,444","1","29"
"NL080","7,496","1","3372"
"U3890","7,497","1","1430"
"Y0590","7,498","",""
"LV221","7,499","",""
"DC4694","7,500","",""
"DB3498","7,501","",""
"DB5261","7,502","0",""
"ADD310","7,503","0",""
"DA7551","7,504","0","603"
"DB5968","7,505","0",""
"DB6481","7,494","1",""
"DB5976","7,131","1","1311"
"CO DC7578","9,507","0",""
"CO DC7573","9,501","0",""
"EE452","7,239","1","3350"
"DB3962","7,240","1",""
"DB4212","7,241","1",""
"EE489","7,242","1","3459"
"ALV741","7,243","0",""
"KN436","7,244","1","3759"
"DB5371","7,245","0",""
"VZ702","7,259","1","1422"
"DTF70","7,260","",""
"DB2846","7,261","1",""
"DB2847","7,262","",""
"DA0392","7,263","0",""
"ED670","7,264","1","183"
"DB5366","7,265","",""
"EMN33","7,266","1","169"
"DA7287","7,267","1","187"
"DA7995","7,268","1",""
"FE865","7,269","1","0"
"N6952","7,270","0",""
"LV202","7,307","1","369"
"CNF81","7,308","1","3379"
"CI DC7582 ","9,024","0",""
"CO DB3498","7,857","0",""
"DA7820","7,309","",""
"ADD339","7,310","0",""
"FE479","7,311","1",""
"VF717","7,312","1","1329"
"DB3966","7,313","1",""
"KC390","7,314","1",""
"FU414","7,315","1","422"
"U1605","7,339","1","1345"
"YS293","7,340","1","1362"
"DB4810","7,360","1",""
"YZ089","7,361","1","3794"
"DA8078","7,362","1","189"
"FE874","7,363","1","171"
"SE290","7,364","0",""
"R2834","7,365","1","952"
"ELZ10","7,366","1","3302"
"DB3457","7,367","1",""
"DA8073","7,359","0",""
"LE817","7,369","1","357"
"DB4797","7,370","0",""
"DB6221","7,371","0",""
"HN349","7,667","1","910"
"DA2821","7,668","",""
"UF864","7,373","",""
"DD1616","7,374","0",""
"HN418","7,375","1","1354"
"VF668","7,377","1","1438"
"DA8070","7,378","1",""
"DB2854","7,379","0",""
"DB4614","7,405","1","186"
"DB5252","7,407","0",""
"PV232","7,408","1",""
"DB3985","7,409","0",""
"EL394","7,410","1","3327"
"KN344","7,411","1","214"
"RY126","7,412","1","1419"
"Y2591","7,413","1","3463"
"VZ704","7,414","1","927"
"KN428","7,415","1","350"
"DB4208","7,416","0",""
"DA7283","7,417","1",""
"LN641","7,418","1",""
"HN395","7,422","1","3292"
"CO DA7463","9,543","",""
"DB4600","7,380","0",""
"PV248","7,381","1","495"
"UE850","7,383","1","3768"
"V3423","7,384","1","3175"
"LE858","7,385","1","915"
"VZ774","7,386","1","0"
"CNF76","7,387","1","3381"
"DC4689","7,388","",""
"DC4687","7,389","",""
"DB3972","7,616","",""
"DA5786","6,925","0",""
"CO DC5051","9,506","",""
"DB4604","7,495","0","373"
"CI DA7460","9,036","",""
"CI DA7461","9,042","",""
"DML49","7,432","1","1803"
"AOD031","7,459","0",""
"DA8072","7,656","0","1208"
"DA0373","7,657","0",""
"CO DB4809","7,860","0",""
"DA0392","7,658","",""
"CI DA7284","9,050","",""
"CO2 DA7996","9,555","",""
"CO3 YS253","9,565","0",""
"DC4693","7,390","",""
"DC4685","7,391","",""
"EK440","7,392","1","419"
"RY120","7,393","1","433"
"ELZ06","7,394","1","366"
"AS7865","7,395","0",""
"DC4686","7,396","",""
"DC4692","7,397","",""
"DB4627","7,398","1","1299"
"AS7984","7,399","0",""
"DB3965","7,400","1",""
"DB4798","7,402","1","953"
"V3736","7,404","1","1074"
"YS228","7,545","",""
"DA5374","7,546","0",""
"P2884","7,548","1","1471"
"SF152","7,550","1","1450"
"AS7965","7,551","0",""
"AS8106","7,552","0",""
"UF869","7,553","",""
"UF873","7,554","",""
"CTP46","7,555","",""
"CTP67","7,556","",""
"Y1202","7,699","1","932"
"DC5048","6,065","1",""
"DC7573","7,483","",""
"V3740","7,484","1","3198"
"DC7578","7,485","",""
"AS8137","7,486","0",""
"DB5277","7,487","1",""
"KN419","7,488","1","202"
"DB5257","7,489","1",""
"Y8305","7,490","1","185"
"DC7583","7,491","",""
"Y8301","7,492","1","449"
"CI DC4685","9,027","0",""
"CO DC5054","9,530","0",""
"CO DC7572","9,532","0",""
"CI DC7572","9,032","0",""
"CO DA7462","9,533","",""
"DB4795","7,528","1",""
"R2788","7,529","1","1427"
"Y0639","7,530","1",""
"DB4617","7,531","0","1465"
"DA7455","7,509","1","601"
"DB5249","7,510","0",""
"DB5387","7,511","0",""
"DB5246","7,512","0",""
"DB5245","7,513","0",""
"V3720","7,514","1","3180"
"DA8080","7,515","0",""
"DB5384","7,516","0",""
"U0772","7,517","1","411"
"SE323","7,518","0",""
"KN623","7,519","1","3402"
"DB6470","7,520","1",""
"DB3972","7,521","",""
"DA7455","7,778","",""
"ADE428","7,814","0",""
"Y1072","7,842","",""
"CO DB4215","7,861","0",""
"DA4162","7,872","",""
"DB5373","7,990","1",""
"ESHOT-TEST ID1","7,995","",""
"CTP38","7,557","",""
"DA6147","7,558","0","972"
"AS8182","7,559","0",""
"LN624","7,560","1","363"
"AS8307","7,561","0",""
"CSA90","7,562","",""
"DA7795","7,563","1","917"
"CSA89","7,564","",""
"ALV767","7,565","0",""
"DB2708","7,566","0",""
"DB2801","7,567","0",""
"DB2704","7,568","0",""
"DB2795","7,569","0",""
"SE046","7,570","0",""
"DD1615","7,574","0",""
"DB4626","7,575","0",""
"R5105","7,577","1","1179"
"DB6201","7,580","0",""
"DB6205","7,581","0",""
"DB6181","7,582","0",""
"DB6249","7,583","0",""
"DB6179","7,584","0",""
"DB6144","7,585","0",""
"DB6311","7,586","0",""
"DB7764","7,587","0",""
"DB6290","7,588","0",""
"DB6310","7,589","0",""
"DB6313","7,591","0",""
"DB6475","7,592","0",""
"DB7736","7,593","1","830"
"DA6128","7,576","",""
"VZ803","6,979","1","1417"
"YS230","6,980","",""
"CO DC4692","9,512","0",""
"EE490","6,981","1","1380"
"DB4216","6,982","0",""
"DA8081","6,983","",""
"DB5970","6,985","0",""
"EE488","6,986","1","1349"
"R2767","6,987","1","3528"
"CNF70","6,988","1","3384"
"DA4028","6,989","1","820"
"DA7463","6,990","",""
"V3712","7,445","1","3177"
"DB5989","7,446","1",""
"DB4207","7,447","1",""
"DC7579","7,448","",""
"DC7581","7,449","",""
"DB2847","7,450","1",""
"CNF90","7,451","1","379"
"DC7576","7,452","",""
"DC7574","7,453","",""
"DC7569","7,454","",""
"EFH57","7,456","1","1440"
"DB5248","7,457","0",""
"EL276","7,458","1","823"
"SF160","6,000","1",""
"DB6213","6,001","0","1058"
"DB5363","6,002","1",""
"DB5276","7,522","1",""
"LL072","7,523","1","1431"
"DA7779","7,524","1",""
"LL076","7,525","1","1451"
"CYH02","7,526","1","1434"
"R2815","7,527","1","3525"
"EMN32","6,213","",""
"DA5829","7,991","",""
"CI DC5047","9,017","0",""
"CO3 ED673","9,562","0",""
"AOY522","7,686","0",""
"BEJ82","6,722","1","483"
"CO DC5047","9,517","0",""
"CO DC7580","9,519","0",""
"CI DC7580","9,019","0",""
"CO DC7571","9,518","0",""
"CI DC7571","9,018","0",""
"CI DC7569","9,013","",""
"CI DC7579","9,023","0",""
"CO DC7569","9,513","",""
"CO DC7579","9,523","0",""
"CO ZK8623","9,511","",""
"CO DC7570","9,516","0",""
"CI DC7569","9,026","0",""
"CI DC7574","9,031","0",""
"CI DC4688","9,029","",""
"CI DA7462","9,033","",""
"CO DA7459","9,534","",""
"CO DA7460","9,536","",""
"CO DA8068","9,538","",""
"CO DA8069","9,540","",""
"CI DA7463","9,043","",""
"CI DA7455","9,045","",""
"CO DA7455","9,545","",""
"YS241","6,415","",""
"CI DC5051","9,006","",""
"CI DC5049","9,014","",""
"CI DC7583","9,025","0",""
"CO DA8072","9,537","",""
"CI DA8068","9,038","",""
"CI DA8081","9,039","",""
"DA4162","6,872","1","1384"
"CI DB5385","7,701","0",""
"CO DB4808","7,852","0",""
"DA2830","7,669","",""
"CI YS253","9,055","0",""
"CO2 YS253","9,564","0",""
"SE287","9,404","",""
"SE037","9,400","",""
"AOC955","6,758","0",""
"CO DA7454","9,544","",""
"CO DA8082","9,547","",""
"CI DA8082","9,047","",""
"CO3 RC877","9,571","0",""
"CO3 YS230","9,568","0",""
"CO2 YS230","9,567","0",""
"CO1 YS230","9,566","0",""
"CI RC891","9,058","0",""
"CO1 RC891","9,572","0",""
"CI YS241","9,059","0",""
"CO2 YS241","9,576","0",""
"CI YS228","9,060","0",""
"CO1 YS228","9,578","0",""
"CO3 YS228","9,580","0",""
"DA7788","7,467","",""
"DA0343","7,629","0",""
"DRB64","7,840","",""
"FD502","7,633","1","1465"
"CI DB6471","7,705","0",""
"CO DB6471","7,855","0",""
"CI DB5386","7,706","0",""
"P5943","6,127","1",""
"DB2802","7,109","0",""
"CI DC7576","9,004","0",""
"V2190","7,620","1","3668"
"CO DC7583","9,525","0",""
"CI DC5054","9,030","0",""
"CI DA7459","9,034","",""
"CI DA8072","9,037","",""
"CO DA7457","9,541","",""
"CO DC4689","9,556","0",""
"CO2 ED673","9,561","0",""
"SE290","9,405","",""
"CI YS230","9,056","0",""
"CO DB4615","7,858","0",""
"CI DB6218","7,709","0",""
"CI DB4809","7,710","0",""
"CI DC5052","9,008","",""
"DA8074","6,451","1","180"
"DB4613","6,452","1","1062"
"DB3459","6,453","0",""
"ALV822","6,454","0",""
"DB6954","6,455","0",""
"DB7584","6,456","0",""
"DB7232","6,457","0",""
"DB3461","6,458","1","1060"
"DB6974","6,459","0",""
"HF775","6,460","0",""
"DB3968","6,462","1",""
"DB5961","6,463","1","1085"
"DA7288","6,464","",""
"CI DB6469","7,704","0",""
"DB3466","7,624","1",""
"DB2836","7,626","1",""
"CO DC7569","9,526","0",""
"VF656","6,393","1","3815"
"AOR566","7,677","0",""
"AOY518","7,692","0",""
"AOY507","7,672","0",""
"AOY528","7,685","0",""
"CI DB5974","7,712","0",""
"AOY503","7,691","0",""
"ACH948","7,803","0",""
"CO DB6469","7,854","0",""
"AOY516 ","7,676","0",""
"Y1072","6,418","1","933"
"ACG343","7,806","0",""
"CO DB5974","7,853","0",""
"UK560","6,554","1","1263"
"ACH888","7,805","",""
"CI DA8081","7,703","",""
"AOY573","7,674","0",""
"ACG334","7,817","0",""
"V3406","6,616","1","3207"
"DD1601","7,820","0",""
"AOY511","7,689","0",""
"ADE475","7,816","0",""
"AOY508","7,680","0",""
"AOY526","7,675","0",""
"AOY594 ","7,678","0",""
"ADE361","7,813","0",""
"BEJ66","7,162","1","1901"
"VF712","6,264","1","1092"
"AOY512","7,694","0",""
"CLZ17","7,382","1","3709"
"DA7831","6,172","1",""
"AOY505 ","7,682","0",""
"CO2 YS228","9,579","0",""
"ACG392","7,809","",""
"R4928","7,800","1","443"
"AOY527 ","7,681","0",""
"CO DB6218","7,859","0",""
"DA4182","6,071","0",""
"AOY502","7,684","0",""
"AOY515","7,687","0",""
"DC7577","7,802","1",""
"AOY525","7,683","0",""
"DC7581","7,801","1",""
"ABT776","7,804","0",""
"CI DB4615","7,708","0",""
"ACG362","7,807","0",""
"ADE524","7,812","0",""
"ACH928","7,808","0",""
"AOY517","7,673","0",""
"ACH899","7,810","0",""
"DA7820","7,306","0",""
"ADH256","7,815","0",""
"DB5253","6,088","1",""
"AOY517","7,688","0",""
